,scraped_bday,home_town,scraped_dday,living_status,summary,wiki_page,image
Tim Sample,1951-01-30,"Fort Fairfield, Maine",,Alive,"Tim Sample (born (1951-01-30)January 30, 1951) is a New England humorist, famous both for his presentation and his Maine accent. He has sold well over a million copies of his books, albums, and videos, including four albums and a video for the Bert and I company. In the summer of 1993, Sample was recruited by Charles Kuralt as a correspondent for the Emmy Award winning TV Show CBS News Sunday Morning.[1] Over the following 11 years, Tim produced over 100 ""Postcards from Maine"" segments which introduced millions of CBS viewers around the nation and the world to the lifestyles of Mainers.",https://en.wikipedia.org/wiki/Tim_Sample,https://upload.wikimedia.org/wikipedia/commons/c/c2/Tim_Sample.jpg
Johnny A. Sanchez,1968-5-14,"Los Angeles, California|Los Angeles, California, United States|U.S.",,Alive," Johnny A. Sanchez (born May 14, 1968) is an American stand-up comedian and actor, best known as a repertory player on MADtv from 2007 until 2009.Johnny A. Sanchez has spent many years as a stand-up comedian and is a veteran of many Los Angeles comedy clubs.",https://en.wikipedia.org/wiki/Johnny_A._Sanchez,No Image
Adam Sandler,1966-9-9,"New York City, New York, U.S.",,Alive,"Adam Richard Sandler (born September 9, 1966) is an American actor, comedian, screenwriter, film producer, and singer-songwriter. After becoming a Saturday Night Live cast member, he went on to star in many Hollywood feature films, which have combined grossed over $2 billion at the box office.[2][3]Sandler is best known for his comedic roles including Billy Madison (1995), Happy Gilmore (1996), The Waterboy (1998), The Wedding Singer (1998), Big Daddy (1999), Mr. Deeds (2002), 50 First Dates (2004), The Longest Yard (2005), Click (2006), Grown Ups (2010), Just Go with It (2011), Grown Ups 2 (2013), Blended (2014) and Murder Mystery (2019).",https://en.wikipedia.org/wiki/Adam_Sandler,https://upload.wikimedia.org/wikipedia/commons/c/c5/Adam_Sandler_2018_%28Lc9jYc07e54%29.jpg
Andrew Santino,1983-10-16,"Chicago, Illinois, U.S.",,Alive,"Andrew Santino (born October 16, 1983) is an American stand-up comedian, actor and podcaster known for television series and films such as Sin City Saints,[7][8] The Disaster Artist,[9] Mixology,[10] and I'm Dying Up Here.[11]On I'm Dying Up Here, he played one of the main roles, Bill Hobbs, a talented, popular comedian who sabotages himself with a bitter attitude and negative outlook on life.[12] Currently he stars in the series Dave, which tells the fictionalized story of rapper Lil Dicky. Santino portrays Dave's roommate and manager.",https://en.wikipedia.org/wiki/Andrew_Santino,No Image
Will Sasso,1975-5-24,"Ladner, British Columbia, Canada",,Alive,"William Sasso (born May 24, 1975) is a Canadian comedian, actor and former podcaster on his podcast Ten Minute Podcast. He is notable for his five seasons as a cast member on Mad TV from 1997 to 2002 and for starring as Curly in the 2012 film reboot of The Three Stooges.Sasso was born in Ladner, British Columbia, to Italian immigrants.[2] He graduated from Delta Secondary School in Delta, British Columbia in 1993.",https://en.wikipedia.org/wiki/Will_Sasso,https://upload.wikimedia.org/wikipedia/commons/0/04/Will_Sasso_by_Gage_Skidmore.jpg
Evan Sayet,1960-10-29,No home town,,Alive,"Evan Douglas Sayet (born October 29, 1960) is a comedian and conservative speaker.Sayet is the author of The KinderGarden Of Eden: How The Modern Liberal Thinks And Why He's Convinced That Ignorance Is Bliss. .mw-parser-output cite.",https://en.wikipedia.org/wiki/Evan_Sayet,No Image
Kristen Schaal,1978-1-24,"Longmont, Colorado, U.S.",,Alive,"Kristen Joy Schaal (/ʃɑːl/;[1] born January 24, 1978) is an American actress, voice actress, comedian, and writer. She is best known for her voice roles as Louise Belcher on Bob's Burgers and  Mabel Pines on Gravity Falls, as well as for playing Mel on Flight of the Conchords, Hurshe Heartshe on The Heart, She Holler and Carol Pilbasian on The Last Man on Earth.She provides several voices for BoJack Horseman, most notably for the character of Sarah Lynn, for which she was nominated for a Primetime Emmy Award for Outstanding Character Voice-Over Performance. Other roles include Amanda Simmons on The Hotwives of Orlando, Hazel Wassername on 30 Rock, Victoria Best on WordGirl, Trixie in the Toy Story franchise, and Anne on Wilfred.",https://en.wikipedia.org/wiki/Kristen_Schaal,https://upload.wikimedia.org/wikipedia/commons/0/0e/Kristen_Schaal_by_Gage_Skidmore_2.jpg
Lewis Schaffer,1957-03-30,"Brooklyn, New York",,Alive,"Lewis Schaffer is an American comedian, based in Nunhead, south-east London, where he moved in 2000. He currently hosts his own weekly radio show on Resonance FM 104.4FM in London entitled ""Nunhead American Radio with Lewis Schaffer"" and tours Britain as a stand-up comedian. He was the first comic to tour a ""free admission"" show across the United Kingdom and in 2015 performed at 47 theatres and art centres in Britain.",https://en.wikipedia.org/wiki/Lewis_Schaffer,No Image
Robert Schimmel,1950-1-16,"The Bronx, New York, US",2010-9-3,Deceased,"Robert George Schimmel (January 16, 1950 – September 3, 2010) was an American stand-up comedian who was known for his blue comedy.[1] While the extremely profane nature of his act limited his commercial appeal, he had a reputation as a ""comic's comic"" due to his relentless touring, comedy albums and frequent appearances on HBO and The Howard Stern Show. Schimmel is number 76 on the 2004 program Comedy Central Presents: 100 Greatest Stand-Ups Of All Time.[2]Schimmel was born in the Bronx, New York City, the son of Betty and Otto Schimmel, Jewish survivors of the Holocaust.",https://en.wikipedia.org/wiki/Robert_Schimmel,https://upload.wikimedia.org/wikipedia/commons/0/09/Robert_Schimmel.jpg
Andrew Schulz,1983-10-30,"New York (state)|New York, U.S.",,Alive,"Andrew Cameron Schulz (born October 30, 1983) is an American comedian from New York. He is known for his work on Guy Code, The Brilliant Idiots podcast and the Amazon original series Sneaky Pete.In September 2017, Schulz self-released his first comedy special, ""4:4:1"".[1] His special aired on YouTube where it has amassed over 1.",https://en.wikipedia.org/wiki/Andrew_Schulz,https://upload.wikimedia.org/wikipedia/commons/f/f5/Andrew_Schulz_at_MTV_Movie_Awards_2012.jpg
Lenny Schultz,1933-12-13,"Bronx, New York City, New York (state)|New York, United States",,Alive,"Lenny Schultz (born December 13, 1933) is an American retired comedian who performed during the 1970s on television and at comedy clubs in New York City. His madcap style of improvisational comedy influenced other comedians such as Gallagher, Carrot Top, and David Letterman.Born in The Bronx,[1] he began making other children laugh at age eight by imitating chickens, making sound effects, and doing voices.[2][3] Originally hoping for a career as a Major League Baseball pitcher, at 18 Schultz was offered a contract by a New York Yankee-owned minor league team.",https://en.wikipedia.org/wiki/Lenny_Schultz,No Image
Amy Schumer,1981-6-1,"Manhattan, New York City, U.S.",,Alive,"Amy Beth Schumer[1] (born June 1, 1981) is an American stand-up comedian and actress. She ventured into comedy in the early 2000s before appearing as a contestant on the fifth season of the NBC reality competition series Last Comic Standing in 2007. Since 2013, she has been the creator, co-producer, co-writer, and star of the Comedy Central sketch comedy series Inside Amy Schumer, for which she received a Peabody Award and for which Schumer has been nominated for five Primetime Emmy Awards, winning Outstanding Variety Sketch Series in 2015.Schumer wrote and made her film debut in a starring role in Trainwreck (2015), for which she received nominations for the Writers Guild of America Award for Best Original Screenplay and the Golden Globe Award for Best Actress – Motion Picture Comedy or Musical.",https://en.wikipedia.org/wiki/Amy_Schumer,https://upload.wikimedia.org/wikipedia/commons/0/0b/Amy_Schumer_by_Mario_Santor.jpg
Rory Scovel,1980-8-6,"Greenville, South Carolina",,Alive,"Rory J. Scovel (born August 6, 1980) is an American comedian, writer and actor from Greenville, South Carolina. Scovel released his first stand-up album Dilation in 2011. He has since released two hour-long stand-up specials, Rory Scovel: The Charleston Special in 2015 and Rory Scovel Tries Stand-Up for the First Time in 2017 on Netflix.",https://en.wikipedia.org/wiki/Rory_Scovel,https://upload.wikimedia.org/wikipedia/commons/c/c9/Rory_Scovel.jpg
Jerry Seinfeld,1954-4-29,"New York, New York, U.S.",,Alive,"Jerome Allen Seinfeld (/ˈsaɪnfɛld/ SYNE-feld; born April 29, 1954)[2] is an American comedian, actor, writer, producer, and director. He is known for playing a semi-fictionalized version of himself in the sitcom Seinfeld, which he created and wrote with Larry David. The show aired on NBC from 1989 until 1998, becoming one of the most acclaimed and popular sitcoms of all-time. As a stand-up comedian, Seinfeld specializes in observational comedy.",https://en.wikipedia.org/wiki/Jerry_Seinfeld,https://upload.wikimedia.org/wikipedia/commons/a/a4/Jerry_Seinfeld_2016_-_2.jpg
Ari Shaffir,1974-02-12,"New York City, New York (state)|New York, U.S.",,Alive,"Ari David Shaffir (born February 12, 1974) is an American comedian, actor, podcaster, writer, and producer. He  produces and hosts the Skeptic Tank podcast. He also co-hosts the podcast Punch Drunk Sports with Jayson Thibault and Sam Tripoli, and is a regular guest on The Joe Rogan Experience podcast. He created and previously hosted and produced the This is Not Happening television series, an adaptation of his monthly stand-up show.",https://en.wikipedia.org/wiki/Ari_Shaffir,https://upload.wikimedia.org/wikipedia/commons/f/f6/Ari_Shaffir_2016.jpg
Garry Shandling,1949-11-29,"Chicago, Illinois, U.S.",2016-3-24,Deceased,"Garry Emmanuel Shandling (November 29, 1949 – March 24, 2016) was an American stand-up comedian, actor, director, writer, and producer.  Two of his best-known works were It's Garry Shandling's Show and The Larry Sanders Show.Shandling began his career writing for sitcoms, such as Sanford and Son and Welcome Back, Kotter. He made a successful stand-up performance on The Tonight Show Starring Johnny Carson where he became a frequent guest-host.",https://en.wikipedia.org/wiki/Garry_Shandling,https://upload.wikimedia.org/wikipedia/commons/f/f0/Garry_Shandling_at_the_39th_Emmy_Awards_cropped.jpg
Derek Sheen,48-2018-7,No home town,,Alive,"Derek Sheen is a stand-up comedian from Seattle.[2] He has released four albums on Stand Up! Records, most recently 2020's Macho Caballero.Reviewer Richard Lanoie of The Serious Comedy Site said that Sheen ""more than proves there are still some great, original, and intelligently dark comics out there.""[3] Daniel Berkowitz of website The Spit Take called Sheen ""a hilarious and gifted performer"" with ""a unique voice that he’s able to expertly harness.",https://en.wikipedia.org/wiki/Derek_Sheen,No Image
Brad Sherwood,1964-11-24,"Chicago, Illinois, U.S.",,Alive,"Bradley Sherwood (born November 24, 1964) is an American actor, comedian, game show host and writer.Sherwood was born in Chicago, Illinois and later grew up in Santa Fe, New Mexico. He attended Santa Fe Preparatory School and graduated from Santa Fe High School. He studied at Wright State University and graduated with a BFA (bachelor of fine arts) in acting.",https://en.wikipedia.org/wiki/Brad_Sherwood,https://upload.wikimedia.org/wikipedia/commons/3/32/Brad_Sherwood_2006.JPG
Iliza Shlesinger,1983-2-22,"New York City, New York (state)|New York, U.S.",,Alive,"Iliza Vie Shlesinger[1] (/əˈlaɪzə ˈʃlɛsɪŋɡər/;[2][3] born February 22, 1983[citation needed]) is an American comedian, actress, and television host. Born in New York City, she was raised in Dallas, Texas. Shlesinger was the 2008 winner of NBC's Last Comic Standing and went on to host the syndicated dating show Excused and the TBS game show Separation Anxiety.In 2017, she hosted her own late-night talk show called Truth & Iliza on Freeform.",https://en.wikipedia.org/wiki/Iliza_Shlesinger,https://upload.wikimedia.org/wikipedia/commons/8/81/Iliza_Shlesinger.jpg
Ron Shock,1942-10-19,"Albuquerque, New Mexico",2012-05-17,Deceased,"Howard Ronald ""Ron"" Shock (October 19, 1942 – May 17, 2012) was an American comedian and storyteller who was best known for his reenactments of stories that he extracted from newspapers.Shock was born in Albuquerque, New Mexico.[1] According to his website biography, Shock had been ""a many great things"" throughout his childhood, including a student of the priesthood, member of a chain gang, jewel thief, prison inmate, vice-president of Macmillan Publishers, and an inventor with three patents in electronics.[2] ""One went on to become Quick Alert,"" Shock said to the Salt Lake City Weekly.",https://en.wikipedia.org/wiki/Ron_Shock,No Image
Martin Short,1950-03-26,"Hamilton, Ontario, Canada",,Alive,"Martin Hayter Short OC (born March 26, 1950[1]) is a Canadian-American actor, comedian, singer, and writer.[2] He is known for his work on the television programs SCTV and Saturday Night Live. He has starred in comedy films such as Three Amigos (1986), Innerspace (1987), Three Fugitives (1989), Father of the Bride (1991), Pure Luck (1991), Captain Ron (1992), Father of the Bride Part II (1995), Mars Attacks! (1996), Jungle 2 Jungle (1997), and The Santa Clause 3: The Escape Clause (2006). Short created the characters Jiminy Glick and Ed Grimley.",https://en.wikipedia.org/wiki/Martin_Short,https://upload.wikimedia.org/wikipedia/commons/0/0c/Martin_Short_at_PaleyFest_2014_%28cropped%29.jpg
